schemaname,tablename,policyname,permissive,roles,cmd,qual,with_check
public,users,public read basic user profile,PERMISSIVE,"{anon,authenticated}",SELECT,true,NULL
public,users,users self read,PERMISSIVE,{public},SELECT,(auth.uid() = user_id),NULL
public,users,users self update,PERMISSIVE,{public},UPDATE,(auth.uid() = user_id),(auth.uid() = user_id)
public,users,users_insert_own,PERMISSIVE,{public},INSERT,NULL,(auth.uid() = user_id)
public,users,users_rw_self,PERMISSIVE,{authenticated},ALL,(user_id = auth.uid()),(user_id = auth.uid())
public,users,users_select_own,PERMISSIVE,{authenticated},SELECT,(auth.uid() = user_id),NULL
public,users,users_update_own,PERMISSIVE,{authenticated},UPDATE,(auth.uid() = user_id),(auth.uid() = user_id)
public,users_check_profile,read own,PERMISSIVE,{public},SELECT,(user_id = auth.uid()),NULL
public,users_check_profile,update own,PERMISSIVE,{public},UPDATE,(user_id = auth.uid()),NULL
public,users_check_profile,upsert own,PERMISSIVE,{public},INSERT,NULL,(user_id = auth.uid())
public,users_check_route,insert own users_check_route,PERMISSIVE,{public},INSERT,NULL,(auth.uid() = user_id)
public,users_check_route,read own users_check_route,PERMISSIVE,{public},SELECT,(auth.uid() = user_id),NULL
public,users_check_route,route_welcome_insert,PERMISSIVE,{authenticated},INSERT,NULL,(auth.uid() = user_id)
public,users_check_route,route_welcome_select,PERMISSIVE,{authenticated},SELECT,(auth.uid() = user_id),NULL
public,wing_battle_options,wing_battle_options_read_all,PERMISSIVE,"{anon,authenticated}",SELECT,true,NULL
public,xp_ledger,xp_ledger_select_own,PERMISSIVE,{authenticated},SELECT,(auth.uid() = user_id),NULL
