schemaname,tablename,indexname,indexdef
public,user_wing_battle_votes,user_wing_battle_votes_user_idx,CREATE INDEX user_wing_battle_votes_user_idx ON public.user_wing_battle_votes USING btree (user_id)
public,users,users_facebook_provider_id_unique,CREATE UNIQUE INDEX users_facebook_provider_id_unique ON public.users USING btree (facebook_provider_id) WHERE (facebook_provider_id IS NOT NULL)
public,users,users_pkey,CREATE UNIQUE INDEX users_pkey ON public.users USING btree (user_id)
public,users,users_username_unique_ci,"CREATE UNIQUE INDEX users_username_unique_ci ON public.users USING btree (lower(NULLIF(username, ''::text))) WHERE (NULLIF(username, ''::text) IS NOT NULL)"
public,users_check_profile,users_check_profile_pkey,CREATE UNIQUE INDEX users_check_profile_pkey ON public.users_check_profile USING btree (user_id)
public,users_check_route,users_check_route_pkey,CREATE UNIQUE INDEX users_check_route_pkey ON public.users_check_route USING btree (user_id)
public,wing_battle_options,wing_battle_options_active_idx,"CREATE INDEX wing_battle_options_active_idx ON public.wing_battle_options USING btree (is_active, sort_order, id)"
public,wing_battle_options,wing_battle_options_pkey,CREATE UNIQUE INDEX wing_battle_options_pkey ON public.wing_battle_options USING btree (id)
public,wingman_intake_logs,wingman_intake_logs_pkey,CREATE UNIQUE INDEX wingman_intake_logs_pkey ON public.wingman_intake_logs USING btree (id)
public,wingman_intake_logs,wingman_logs_created_at_idx,CREATE INDEX wingman_logs_created_at_idx ON public.wingman_intake_logs USING btree (created_at)
public,wingman_intake_logs,wingman_logs_decision_idx,CREATE INDEX wingman_logs_decision_idx ON public.wingman_intake_logs USING btree (decision)
public,wingman_intake_logs,wingman_logs_user_idx,CREATE INDEX wingman_logs_user_idx ON public.wingman_intake_logs USING btree (user_id)
public,xp_ledger,xp_ledger_crawl_time_idx,"CREATE INDEX xp_ledger_crawl_time_idx ON public.xp_ledger USING btree (crawl_id, created_at DESC) WHERE (crawl_id IS NOT NULL)"
public,xp_ledger,xp_ledger_destination_time_idx,"CREATE INDEX xp_ledger_destination_time_idx ON public.xp_ledger USING btree (destination_id, created_at DESC) WHERE (destination_id IS NOT NULL)"
public,xp_ledger,xp_ledger_idempotency_key_unique,CREATE UNIQUE INDEX xp_ledger_idempotency_key_unique ON public.xp_ledger USING btree (idempotency_key)
public,xp_ledger,xp_ledger_pkey,CREATE UNIQUE INDEX xp_ledger_pkey ON public.xp_ledger USING btree (id)
public,xp_ledger,xp_ledger_route_time_idx,"CREATE INDEX xp_ledger_route_time_idx ON public.xp_ledger USING btree (route_id, created_at DESC) WHERE (route_id IS NOT NULL)"
public,xp_ledger,xp_ledger_source_time_idx,"CREATE INDEX xp_ledger_source_time_idx ON public.xp_ledger USING btree (source, created_at DESC)"
public,xp_ledger,xp_ledger_user_time_idx,"CREATE INDEX xp_ledger_user_time_idx ON public.xp_ledger USING btree (user_id, created_at DESC)"
