schemaname,tablename,indexname,indexdef
public,jalapeno_content_decisions,idx_jalapeno_content_decisions_run_id,CREATE INDEX idx_jalapeno_content_decisions_run_id ON public.jalapeno_content_decisions USING btree (run_id)
public,jalapeno_content_decisions,jalapeno_content_decisions_pkey,CREATE UNIQUE INDEX jalapeno_content_decisions_pkey ON public.jalapeno_content_decisions USING btree (id)
public,jalapeno_content_memory,idx_jalapeno_content_memory_platform,CREATE INDEX idx_jalapeno_content_memory_platform ON public.jalapeno_content_memory USING btree (platform)
public,jalapeno_content_memory,idx_jalapeno_content_memory_post_id,CREATE INDEX idx_jalapeno_content_memory_post_id ON public.jalapeno_content_memory USING btree (post_id)
public,jalapeno_content_memory,idx_jalapeno_content_memory_timestamp_desc,"CREATE INDEX idx_jalapeno_content_memory_timestamp_desc ON public.jalapeno_content_memory USING btree (""timestamp"" DESC)"
public,jalapeno_content_memory,jalapeno_content_memory_pkey,CREATE UNIQUE INDEX jalapeno_content_memory_pkey ON public.jalapeno_content_memory USING btree (id)
public,jalapeno_content_memory,jalapeno_content_memory_post_id_key,CREATE UNIQUE INDEX jalapeno_content_memory_post_id_key ON public.jalapeno_content_memory USING btree (post_id)
public,jalapeno_content_performance,idx_jalapeno_content_performance_captured_at_desc,CREATE INDEX idx_jalapeno_content_performance_captured_at_desc ON public.jalapeno_content_performance USING btree (captured_at DESC)
public,jalapeno_content_performance,idx_jalapeno_content_performance_post_id,CREATE INDEX idx_jalapeno_content_performance_post_id ON public.jalapeno_content_performance USING btree (post_id)
public,jalapeno_content_performance,jalapeno_content_performance_pkey,CREATE UNIQUE INDEX jalapeno_content_performance_pkey ON public.jalapeno_content_performance USING btree (id)
public,jalapeno_content_strategy,idx_jalapeno_content_strategy_active,"CREATE INDEX idx_jalapeno_content_strategy_active ON public.jalapeno_content_strategy USING btree (is_active, effective_from DESC)"
public,jalapeno_content_strategy,jalapeno_content_strategy_pkey,CREATE UNIQUE INDEX jalapeno_content_strategy_pkey ON public.jalapeno_content_strategy USING btree (id)
public,jalapeno_errors,idx_jalapeno_errors_resolved,CREATE INDEX idx_jalapeno_errors_resolved ON public.jalapeno_errors USING btree (resolved)
public,jalapeno_errors,idx_jalapeno_errors_run_id,CREATE INDEX idx_jalapeno_errors_run_id ON public.jalapeno_errors USING btree (run_id)
public,jalapeno_errors,idx_jalapeno_errors_stage,CREATE INDEX idx_jalapeno_errors_stage ON public.jalapeno_errors USING btree (stage)
public,jalapeno_errors,jalapeno_errors_pkey,CREATE UNIQUE INDEX jalapeno_errors_pkey ON public.jalapeno_errors USING btree (id)
public,jalapeno_growth_reports,idx_jalapeno_growth_reports_week_desc,CREATE INDEX idx_jalapeno_growth_reports_week_desc ON public.jalapeno_growth_reports USING btree (report_week_start DESC)
public,jalapeno_growth_reports,jalapeno_growth_reports_pkey,CREATE UNIQUE INDEX jalapeno_growth_reports_pkey ON public.jalapeno_growth_reports USING btree (id)
public,jalapeno_image_assets,idx_jalapeno_image_assets_candidate_id,CREATE INDEX idx_jalapeno_image_assets_candidate_id ON public.jalapeno_image_assets USING btree (candidate_id)
public,jalapeno_image_assets,idx_jalapeno_image_assets_public_url,CREATE INDEX idx_jalapeno_image_assets_public_url ON public.jalapeno_image_assets USING btree (public_url)
public,jalapeno_image_assets,idx_jalapeno_image_assets_run_id,CREATE INDEX idx_jalapeno_image_assets_run_id ON public.jalapeno_image_assets USING btree (run_id)
public,jalapeno_image_assets,jalapeno_image_assets_pkey,CREATE UNIQUE INDEX jalapeno_image_assets_pkey ON public.jalapeno_image_assets USING btree (id)
public,jalapeno_instagram_posts,idx_jalapeno_instagram_posts_candidate_id,CREATE INDEX idx_jalapeno_instagram_posts_candidate_id ON public.jalapeno_instagram_posts USING btree (candidate_id)
public,jalapeno_instagram_posts,idx_jalapeno_instagram_posts_container_id,CREATE INDEX idx_jalapeno_instagram_posts_container_id ON public.jalapeno_instagram_posts USING btree (container_id)
