routine_schema,routine_name,privilege_type,grantee
public,set_username,EXECUTE,authenticated
public,set_username,EXECUTE,service_role
public,tf_user_badges_count_after_del,EXECUTE,anon
public,tf_user_badges_count_after_del,EXECUTE,authenticated
public,tf_user_badges_count_after_del,EXECUTE,service_role
public,tf_user_badges_count_after_ins,EXECUTE,anon
public,tf_user_badges_count_after_ins,EXECUTE,authenticated
public,tf_user_badges_count_after_ins,EXECUTE,service_role
public,tf_user_badges_count_after_upd,EXECUTE,anon
public,tf_user_badges_count_after_upd,EXECUTE,authenticated
public,tf_user_badges_count_after_upd,EXECUTE,service_role
public,tg_touch_updated_at,EXECUTE,anon
public,tg_touch_updated_at,EXECUTE,authenticated
public,tg_touch_updated_at,EXECUTE,service_role
public,unblock_user,EXECUTE,authenticated
public,unblock_user,EXECUTE,service_role
public,wallet_add_coins,EXECUTE,anon
public,wallet_add_coins,EXECUTE,authenticated
public,wallet_add_coins,EXECUTE,service_role
public,xp_add,EXECUTE,anon
public,xp_add,EXECUTE,anon
public,xp_add,EXECUTE,authenticated
public,xp_add,EXECUTE,authenticated
public,xp_add,EXECUTE,service_role
public,xp_add,EXECUTE,service_role
public,xp_level_for,EXECUTE,anon
public,xp_level_for,EXECUTE,authenticated
public,xp_level_for,EXECUTE,service_role
